Business Name,Address,Place ID,Category Query,City
Confluence Brewing Company,"1235 Thomas Beck Rd, Des Moines, IA 50315, United States",ChIJ5efUAPKY7ocRiMgJWS6QuwQ,brewery,"West Des Moines, IA"
The Iowa Taproom,"215 E 3rd St #100, Des Moines, IA 50309, United States",ChIJub2Coq2Z7ocRzg0GEXB3v2I,brewery,"West Des Moines, IA"
West Hill Brewing Company,"219 W Salem Ave, Indianola, IA 50125, United States",ChIJEz6RBZGx7ocRRPntSxuJB4M,brewery,"West Des Moines, IA"
Big Grove Brewery & Taproom,"555 17th St, Des Moines, IA 50309, United States",ChIJkx44-XiZ7ocRk2nHVuo72NY,brewery,"West Des Moines, IA"
The Hall DSM,"111 S 11th St, West Des Moines, IA 50265, United States",ChIJkTZLUrqf7ocRudYOT_t2iC8,brewery,"West Des Moines, IA"
SingleSpeed Brewing Co - DSM TapRoom,"303 Scott Ave, Des Moines, IA 50309, United States",ChIJjdQQt3WZ7ocRNH8eyj5DmOc,brewery,"West Des Moines, IA"
Wellman's Pub & Rooftop,"597 Market St, West Des Moines, IA 50266, United States",ChIJnz3EGbUh7IcR16i5-RkPaN4,brewery,"West Des Moines, IA"
Iowa Craft Beer Tent,"Des Moines, IA 50317, United States",ChIJC6PKCw-X7ocRZshQKmCMy5Y,brewery,"West Des Moines, IA"
Court Avenue Restaurant & Brewing Company,"309 Court Ave, Des Moines, IA 50309, United States",ChIJVfbUl6qZ7ocR5eRaGXDfv6c,brewery,"West Des Moines, IA"
Blue Shark Ale House,"165 S Jordan Creek Pkwy, West Des Moines, IA 50266, United States",ChIJQUkOvG8h7IcRkquaNf0ANVA,brewery,"West Des Moines, IA"
Winchester Public House,"224 5th St, West Des Moines, IA 50265, United States",ChIJawoNi7Kf7ocRO3PPPcqYkSg,brewery,"West Des Moines, IA"
Bix & Co.,"111 5th St, West Des Moines, IA 50265, United States",ChIJl_W1fuOf7ocRmmhS_evK374,brewery,"West Des Moines, IA"
Firetrucker Brewery,"716 SW 3rd St, Ankeny, IA 50023, United States",ChIJgTMgwxCF7ocRDVf1xQncBBc,brewery,"Ankeny, IA"
Uptown Garage Brewing Co.,"305 SW Walnut St, Ankeny, IA 50023, United States",ChIJ2eMd5WeF7ocRUhXGQHxoKVo,brewery,"Ankeny, IA"
515 Brewing Company,"7700 University Ave Suite C, Clive, IA 50325, United States",ChIJ4fg74T-e7ocRMYam2uOOihM,brewery,"Urbandale, IA"
Barn Town Brewing,"9500 SE University Ave Suite 1110, West Des Moines, IA 50266, United States",ChIJfRI1e-kj7IcRdVdMbQdfq2o,brewery,"Urbandale, IA"
The Beerhouse,"4810 NW 86th St, Urbandale, IA 50322, United States",ChIJ9Rbl3Y6d7ocRcledeoRjnRM,brewery,"Urbandale, IA"
Exile Brewing Company,"1514 Walnut St, Des Moines, IA 50309, United States",ChIJBWDX9-GY7ocR-4DjPSrypHQ,brewery,"Urbandale, IA"
Twisted Vine Brewery,"112 SE 4th St, Des Moines, IA 50309, United States",ChIJvZMO-Jsg7IcR4vogSxSLC6Q,brewery,"Urbandale, IA"
Lua Brewing,"1525 High St, Des Moines, IA 50309, United States",ChIJkdj6W8GZ7ocRGSw0rV-8E0E,brewery,"Urbandale, IA"
The Iowa Taproom,"215 E 3rd St #100, Des Moines, IA 50309, United States",ChIJub2Coq2Z7ocRzg0GEXB3v2I,brewery,"Urbandale, IA"
Firetrucker Brewery,"716 SW 3rd St, Ankeny, IA 50023, United States",ChIJgTMgwxCF7ocRDVf1xQncBBc,brewery,"Urbandale, IA"
Confluence Brewing Company,"1235 Thomas Beck Rd, Des Moines, IA 50315, United States",ChIJ5efUAPKY7ocRiMgJWS6QuwQ,brewery,"Urbandale, IA"
Blue Shark Ale House,"3701 NW 86th St, Urbandale, IA 50322, United States",ChIJRVJcXCid7ocRSyzWECVxuKA,brewery,"Urbandale, IA"
Flix Brewhouse,"3800 Merle Hay Rd, Des Moines, IA 50310, United States",ChIJM8_9XC2c7ocRA0anyR-tFGs,brewery,"Urbandale, IA"
